id,mandi_id,crop_id,date,min_price,max_price,modal_price,arrival_quantity,source
1,101,1,2026-06-05,1700,1950,1850,500,AgMarkNet
2,101,1,2026-06-20,1750,2000,1880,520,AgMarkNet
3,101,1,2026-07-05,2000,2350,2220,480,AgMarkNet
4,101,1,2026-07-20,2100,2400,2250,450,AgMarkNet
5,101,1,2026-08-05,2400,2700,2600,410,AgMarkNet
6,101,1,2026-08-20,2450,2750,2620,400,AgMarkNet
7,101,1,2026-09-05,2250,2550,2400,430,AgMarkNet
8,101,1,2026-09-15,2300,2600,2450,420,AgMarkNet
9,101,1,2026-10-05,2350,2650,2500,400,AgMarkNet
10,101,1,2026-10-20,2300,2600,2480,410,AgMarkNet
11,101,1,2026-11-05,1900,2200,2050,490,AgMarkNet
12,101,1,2026-11-20,1850,2150,2000,510,AgMarkNet

13,102,1,2026-06-05,1850,2100,1980,600,AgMarkNet
14,102,1,2026-07-05,2150,2450,2350,580,AgMarkNet
15,102,1,2026-08-05,2500,2850,2720,540,AgMarkNet
16,102,1,2026-09-05,2350,2650,2520,560,AgMarkNet
17,102,1,2026-09-15,2250,2550,2400,550,AgMarkNet
18,102,1,2026-10-05,2400,2750,2600,530,AgMarkNet

19,103,1,2026-06-05,1800,2050,1920,450,AgMarkNet
20,103,1,2026-07-05,2100,2400,2300,440,AgMarkNet
21,103,1,2026-08-05,2450,2800,2650,420,AgMarkNet
22,103,1,2026-09-05,2300,2600,2480,430,AgMarkNet
23,103,1,2026-09-15,2200,2500,2380,440,AgMarkNet

24,104,1,2026-09-05,2100,2400,2250,300,AgMarkNet
25,105,1,2026-09-05,2000,2300,2150,350,AgMarkNet
26,106,1,2026-09-05,2400,2800,2650,800,AgMarkNet
27,107,1,2026-09-05,2500,2900,2750,1200,AgMarkNet

28,101,2,2026-09-05,1400,1700,1550,600,AgMarkNet
29,102,2,2026-09-05,1500,1800,1650,620,AgMarkNet
30,101,3,2026-09-05,2800,3400,3100,350,AgMarkNet
31,102,3,2026-09-05,2900,3500,3250,370,AgMarkNet
